targetId,comparatorId,outcomeId,outcomeName,type
784,793,376707,Acute conjunctivitis,outcome
784,793,75576,Irritable bowel syndrome,outcome
784,793,435613,Cellulitis,outcome
784,793,378424,Astigmatism,outcome
784,793,139902,Allergic urticaria,outcome
784,793,380731,Otitis externa,outcome
784,793,141323,Acute maxillary sinusitis,outcome
784,793,4079750,Osteoarthritis of knee,outcome
784,793,4150372,Acute otitis media,outcome
784,793,440129,Hypertrophy of nasal turbinates,outcome
784,793,4215978,Onychomycosis,outcome
784,793,4164337,Polyp of large intestine,outcome
784,793,381581,Chalazion,outcome
784,793,4108467,Burn of skin,outcome
784,793,374366,Sensorineural hearing loss,outcome
784,793,439840,Lymphangitis,outcome
784,793,138463,Aphthous ulcer of mouth,outcome
784,793,81878,Benign paroxysmal positional vertigo,outcome
784,793,377910,Deviated nasal septum,outcome
784,793,134453,Bursitis,outcome
784,793,201792,Nongonococcal urethritis,outcome
784,793,194997,Prostatitis,outcome
784,793,373478,Presbyopia,outcome
784,793,4142905,Fracture of rib,outcome
784,793,444367,Cholelithiasis without obstruction,outcome
784,793,194696,Dysmenorrhea,outcome
784,793,4049417,Vesicular eczema,outcome
784,793,380094,Carpal tunnel syndrome,outcome
784,793,140168,Psoriasis,outcome
784,793,72418,Scoliosis deformity of spine,outcome
784,793,72576,Benign tumor of breast,outcome
784,793,4131595,Fracture of radius,outcome
784,793,199074,Acute pancreatitis,outcome
784,793,381444,Contusion of eye,outcome
784,793,4153877,Post-traumatic wound infection,outcome
784,793,73300,Radial styloid tenosynovitis,outcome
784,793,433527,Endometriosis (clinical),outcome
784,793,4028970,Tracheobronchitis,outcome
784,793,141933,Alopecia areata,outcome
784,793,74855,Genital herpes simplex,outcome
784,793,40443308,Polycystic ovary syndrome,outcome
784,793,261880,Atelectasis,outcome
784,793,433440,Dysthymia,outcome
784,793,4218106,Alcoholism,outcome
784,793,198075,Condyloma acuminatum of the anogenital region,outcome
784,793,261326,Viral pneumonia,outcome
784,793,140362,Hypoparathyroidism,outcome
784,793,437082,Ankylosing spondylitis,outcome
784,793,4288544,Inguinal hernia,outcome
784,793,4304008,Memory impairment,outcome
784,793,440814,Torticollis,outcome
784,793,253796,Pneumothorax,outcome
784,793,433450,Paranoid schizophrenia,outcome
784,793,4239381,Psychoactive substance abuse,outcome
784,793,4223947,"Viral hepatitis, type A",outcome
784,793,435093,Closed fracture of femur,outcome
784,793,4207307,Infective meningitis,outcome
